57 57 3
-500 -500 0  -399.845 -500 0  -319.722 -500 0  -255.623 -500 0  -204.343 -500 0  -163.32 -500 0  -130.501 -500 0  -104.246 -500 0  -83.2423 -500 0  -66.4392 -500 0  -52.9966 -500 0  -42.2426 -500 0  -33.6394 -500 0  -26.7568 -500 0  -21.2507 -500 0  -16.8459 -500 0  -13.322 -500 0  -10.5029 -500 0  -8.24761 -500 0  -6.44338 -500 0  -5 -500 0  -4.25 -500 0  -3.5 -500 0  -2.75 -500 0  -2 -500 0  -1.5 -500 0  -1 -500 0  -0.5 -500 0  0 -500 0  0.5 -500 0  1 -500 0  1.5 -500 0  2 -500 0  2.75 -500 0  3.5 -500 0  4.25 -500 0  5 -500 0  7.65148 -500 0  10.8333 -500 0  14.6514 -500 0  19.2332 -500 0  24.7313 -500 0  31.329 -500 0  39.2463 -500 0  48.747 -500 0  60.1479 -500 0  73.829 -500 0  90.2463 -500 0  109.947 -500 0  133.588 -500 0  161.957 -500 0  196 -500 0  236.851 -500 0  285.873 -500 0  344.699 -500 0  415.29 -500 0  500 -500 0  
-500 -21.2507 0.5  -399.845 -21.2507 0.5  -319.722 -21.2507 0.5  -255.623 -21.2507 0.5  -204.343 -21.2507 0.5  -163.32 -21.2507 0.5  -130.501 -21.2507 0.5  -104.246 -21.2507 0.5  -83.2423 -21.2507 0.5  -66.4392 -21.2507 0.5  -52.9966 -21.2507 0.5  -42.2426 -21.2507 0.5  -33.6394 -21.2507 0.5  -26.7568 -21.2507 0.5  -21.2507 -21.2507 0.5  -16.8459 -21.2507 0.5  -13.322 -21.2507 0.5  -10.5029 -21.2507 0.5  -8.24761 -21.2507 0.5  -6.44338 -21.2507 0.5  -5 -21.2507 0.5  -4.25 -21.2507 0.5  -3.5 -21.2507 0.5  -2.75 -21.2507 0.5  -2 -21.2507 0.5  -1.5 -21.2507 0.5  -1 -21.2507 0.5  -0.5 -21.2507 0.5  0 -21.2507 0.5  0.5 -21.2507 0.5  1 -21.2507 0.5  1.5 -21.2507 0.5  2 -21.2507 0.5  2.75 -21.2507 0.5  3.5 -21.2507 0.5  4.25 -21.2507 0.5  5 -21.2507 0.5  7.65148 -21.2507 0.5  10.8333 -21.2507 0.5  14.6514 -21.2507 0.5  19.2332 -21.2507 0.5  24.7313 -21.2507 0.5  31.329 -21.2507 0.5  39.2463 -21.2507 0.5  48.747 -21.2507 0.5  60.1479 -21.2507 0.5  73.829 -21.2507 0.5  90.2463 -21.2507 0.5  109.947 -21.2507 0.5  133.588 -21.2507 0.5  161.957 -21.2507 0.5  196 -21.2507 0.5  236.851 -21.2507 0.5  285.873 -21.2507 0.5  344.699 -21.2507 0.5  415.29 -21.2507 0.5  500 -21.2507 0.5  
-500 -16.8459 0.5  -399.845 -16.8459 0.5  -319.722 -16.8459 0.5  -255.623 -16.8459 0.5  -204.343 -16.8459 0.5  -163.32 -16.8459 0.5  -130.501 -16.8459 0.5  -104.246 -16.8459 0.5  -83.2423 -16.8459 0.5  -66.4392 -16.8459 0.5  -52.9966 -16.8459 0.5  -42.2426 -16.8459 0.5  -33.6394 -16.8459 0.5  -26.7568 -16.8459 0.5  -21.2507 -16.8459 0.5  -16.8459 -16.8459 0.5  -13.322 -16.8459 0.5  -10.5029 -16.8459 0.5  -8.24761 -16.8459 0.5  -6.44338 -16.8459 0.5  -5 -16.8459 0.5  -4.25 -16.8459 0.5  -3.5 -16.8459 0.5  -2.75 -16.8459 0.5  -2 -16.8459 0.5  -1.5 -16.8459 0.5  -1 -16.8459 0.5  -0.5 -16.8459 0.5  0 -16.8459 0.5  0.5 -16.8459 0.5  1 -16.8459 0.5  1.5 -16.8459 0.5  2 -16.8459 0.5  2.75 -16.8459 0.5  3.5 -16.8459 0.5  4.25 -16.8459 0.5  5 -16.8459 0.5  7.65148 -16.8459 0.5  10.8333 -16.8459 0.5  14.6514 -16.8459 0.5  19.2332 -16.8459 0.5  24.7313 -16.8459 0.5  31.329 -16.8459 0.5  39.2463 -16.8459 0.5  48.747 -16.8459 0.5  60.1479 -16.8459 0.5  73.829 -16.8459 0.5  90.2463 -16.8459 0.5  109.947 -16.8459 0.5  133.588 -16.8459 0.5  161.957 -16.8459 0.5  196 -16.8459 0.5  236.851 -16.8459 0.5  285.873 -16.8459 0.5  344.699 -16.8459 0.5  415.29 -16.8459 0.5  500 -16.8459 0.5  
-500 -13.322 0.5  -399.845 -13.322 0.5  -319.722 -13.322 0.5  -255.623 -13.322 0.5  -204.343 -13.322 0.5  -163.32 -13.322 0.5  -130.501 -13.322 0.5  -104.246 -13.322 0.5  -83.2423 -13.322 0.5  -66.4392 -13.322 0.5  -52.9966 -13.322 0.5  -42.2426 -13.322 0.5  -33.6394 -13.322 0.5  -26.7568 -13.322 0.5  -21.2507 -13.322 0.5  -16.8459 -13.322 0.5  -13.322 -13.322 0.5  -10.5029 -13.322 0.5  -8.24761 -13.322 0.5  -6.44338 -13.322 0.5  -5 -13.322 0.5  -4.25 -13.322 0.5  -3.5 -13.322 0.5  -2.75 -13.322 0.5  -2 -13.322 0.5  -1.5 -13.322 0.5  -1 -13.322 0.5  -0.5 -13.322 0.5  0 -13.322 0.5  0.5 -13.322 0.5  1 -13.322 0.5  1.5 -13.322 0.5  2 -13.322 0.5  2.75 -13.322 0.5  3.5 -13.322 0.5  4.25 -13.322 0.5  5 -13.322 0.5  7.65148 -13.322 0.5  10.8333 -13.322 0.5  14.6514 -13.322 0.5  19.2332 -13.322 0.5  24.7313 -13.322 0.5  31.329 -13.322 0.5  39.2463 -13.322 0.5  48.747 -13.322 0.5  60.1479 -13.322 0.5  73.829 -13.322 0.5  90.2463 -13.322 0.5  109.947 -13.322 0.5  133.588 -13.322 0.5  161.957 -13.322 0.5  196 -13.322 0.5  236.851 -13.322 0.5  285.873 -13.322 0.5  344.699 -13.322 0.5  415.29 -13.322 0.5  500 -13.322 0.5  
-500 -10.5029 0.5  -399.845 -10.5029 0.5  -319.722 -10.5029 0.5  -255.623 -10.5029 0.5  -204.343 -10.5029 0.5  -163.32 -10.5029 0.5  -130.501 -10.5029 0.5  -104.246 -10.5029 0.5  -83.2423 -10.5029 0.5  -66.4392 -10.5029 0.5  -52.9966 -10.5029 0.5  -42.2426 -10.5029 0.5  -33.6394 -10.5029 0.5  -26.7568 -10.5029 0.5  -21.2507 -10.5029 0.5  -16.8459 -10.5029 0.5  -13.322 -10.5029 0.5  -10.5029 -10.5029 0.5  -8.24761 -10.5029 0.5  -6.44338 -10.5029 0.5  -5 -10.5029 0.5  -4.25 -10.5029 0.5  -3.5 -10.5029 0.5  -2.75 -10.5029 0.5  -2 -10.5029 0.5  -1.5 -10.5029 0.5  -1 -10.5029 0.5  -0.5 -10.5029 0.5  0 -10.5029 0.5  0.5 -10.5029 0.5  1 -10.5029 0.5  1.5 -10.5029 0.5  2 -10.5029 0.5  2.75 -10.5029 0.5  3.5 -10.5029 0.5  4.25 -10.5029 0.5  5 -10.5029 0.5  7.65148 -10.5029 0.5  10.8333 -10.5029 0.5  14.6514 -10.5029 0.5  19.2332 -10.5029 0.5  24.7313 -10.5029 0.5  31.329 -10.5029 0.5  39.2463 -10.5029 0.5  48.747 -10.5029 0.5  60.1479 -10.5029 0.5  73.829 -10.5029 0.5  90.2463 -10.5029 0.5  109.947 -10.5029 0.5  133.588 -10.5029 0.5  161.957 -10.5029 0.5  196 -10.5029 0.5  236.851 -10.5029 0.5  285.873 -10.5029 0.5  344.699 -10.5029 0.5  415.29 -10.5029 0.5  500 -10.5029 0.5  
-500 -8.24761 0.5  -399.845 -8.24761 0.5  -319.722 -8.24761 0.5  -255.623 -8.24761 0.5  -204.343 -8.24761 0.5  -163.32 -8.24761 0.5  -130.501 -8.24761 0.5  -104.246 -8.24761 0.5  -83.2423 -8.24761 0.5  -66.4392 -8.24761 0.5  -52.9966 -8.24761 0.5  -42.2426 -8.24761 0.5  -33.6394 -8.24761 0.5  -26.7568 -8.24761 0.5  -21.2507 -8.24761 0.5  -16.8459 -8.24761 0.5  -13.322 -8.24761 0.5  -10.5029 -8.24761 0.5  -8.24761 -8.24761 0.5  -6.44338 -8.24761 0.5  -5 -8.24761 0.5  -4.25 -8.24761 0.5  -3.5 -8.24761 0.5  -2.75 -8.24761 0.5  -2 -8.24761 0.5  -1.5 -8.24761 0.5  -1 -8.24761 0.5  -0.5 -8.24761 0.5  0 -8.24761 0.5  0.5 -8.24761 0.5  1 -8.24761 0.5  1.5 -8.24761 0.5  2 -8.24761 0.5  2.75 -8.24761 0.5  3.5 -8.24761 0.5  4.25 -8.24761 0.5  5 -8.24761 0.5  7.65148 -8.24761 0.5  10.8333 -8.24761 0.5  14.6514 -8.24761 0.5  19.2332 -8.24761 0.5  24.7313 -8.24761 0.5  31.329 -8.24761 0.5  39.2463 -8.24761 0.5  48.747 -8.24761 0.5  60.1479 -8.24761 0.5  73.829 -8.24761 0.5  90.2463 -8.24761 0.5  109.947 -8.24761 0.5  133.588 -8.24761 0.5  161.957 -8.24761 0.5  196 -8.24761 0.5  236.851 -8.24761 0.5  285.873 -8.24761 0.5  344.699 -8.24761 0.5  415.29 -8.24761 0.5  500 -8.24761 0.5  
-500 -6.44338 0.5  -399.845 -6.44338 0.5  -319.722 -6.44338 0.5  -255.623 -6.44338 0.5  -204.343 -6.44338 0.5  -163.32 -6.44338 0.5  -130.501 -6.44338 0.5  -104.246 -6.44338 0.5  -83.2423 -6.44338 0.5  -66.4392 -6.44338 0.5  -52.9966 -6.44338 0.5  -42.2426 -6.44338 0.5  -33.6394 -6.44338 0.5  -26.7568 -6.44338 0.5  -21.2507 -6.44338 0.5  -16.8459 -6.44338 0.5  -13.322 -6.44338 0.5  -10.5029 -6.44338 0.5  -8.24761 -6.44338 0.5  -6.44338 -6.44338 0.5  -5 -6.44338 0.5  -4.25 -6.44338 0.5  -3.5 -6.44338 0.5  -2.75 -6.44338 0.5  -2 -6.44338 0.5  -1.5 -6.44338 0.5  -1 -6.44338 0.5  -0.5 -6.44338 0.5  0 -6.44338 0.5  0.5 -6.44338 0.5  1 -6.44338 0.5  1.5 -6.44338 0.5  2 -6.44338 0.5  2.75 -6.44338 0.5  3.5 -6.44338 0.5  4.25 -6.44338 0.5  5 -6.44338 0.5  7.65148 -6.44338 0.5  10.8333 -6.44338 0.5  14.6514 -6.44338 0.5  19.2332 -6.44338 0.5  24.7313 -6.44338 0.5  31.329 -6.44338 0.5  39.2463 -6.44338 0.5  48.747 -6.44338 0.5  60.1479 -6.44338 0.5  73.829 -6.44338 0.5  90.2463 -6.44338 0.5  109.947 -6.44338 0.5  133.588 -6.44338 0.5  161.957 -6.44338 0.5  196 -6.44338 0.5  236.851 -6.44338 0.5  285.873 -6.44338 0.5  344.699 -6.44338 0.5  415.29 -6.44338 0.5  500 -6.44338 0.5  
-500 -5 0.5  -399.845 -5 0.5  -319.722 -5 0.5  -255.623 -5 0.5  -204.343 -5 0.5  -163.32 -5 0.5  -130.501 -5 0.5  -104.246 -5 0.5  -83.2423 -5 0.5  -66.4392 -5 0.5  -52.9966 -5 0.5  -42.2426 -5 0.5  -33.6394 -5 0.5  -26.7568 -5 0.5  -21.2507 -5 0.5  -16.8459 -5 0.5  -13.322 -5 0.5  -10.5029 -5 0.5  -8.24761 -5 0.5  -6.44338 -5 0.5  -5 -5 0.5  -4.25 -5 0.5  -3.5 -5 0.5  -2.75 -5 0.5  -2 -5 0.5  -1.5 -5 0.5  -1 -5 0.5  -0.5 -5 0.5  0 -5 0.5  0.5 -5 0.5  1 -5 0.5  1.5 -5 0.5  2 -5 0.5  2.75 -5 0.5  3.5 -5 0.5  4.25 -5 0.5  5 -5 0.5  7.65148 -5 0.5  10.8333 -5 0.5  14.6514 -5 0.5  19.2332 -5 0.5  24.7313 -5 0.5  31.329 -5 0.5  39.2463 -5 0.5  48.747 -5 0.5  60.1479 -5 0.5  73.829 -5 0.5  90.2463 -5 0.5  109.947 -5 0.5  133.588 -5 0.5  161.957 -5 0.5  196 -5 0.5  236.851 -5 0.5  285.873 -5 0.5  344.699 -5 0.5  415.29 -5 0.5  500 -5 0.5  
-500 -4.25 0.5  -399.845 -4.25 0.5  -319.722 -4.25 0.5  -255.623 -4.25 0.5  -204.343 -4.25 0.5  -163.32 -4.25 0.5  -130.501 -4.25 0.5  -104.246 -4.25 0.5  -83.2423 -4.25 0.5  -66.4392 -4.25 0.5  -52.9966 -4.25 0.5  -42.2426 -4.25 0.5  -33.6394 -4.25 0.5  -26.7568 -4.25 0.5  -21.2507 -4.25 0.5  -16.8459 -4.25 0.5  -13.322 -4.25 0.5  -10.5029 -4.25 0.5  -8.24761 -4.25 0.5  -6.44338 -4.25 0.5  -5 -4.25 0.5  -4.21375 -4.21375 0.5  -3.4275 -4.1775 0.5  -2.64125 -4.14125 0.5  -1.855 -4.105 0.5  -1.39125 -4.14125 0.5  -0.9275 -4.1775 0.5  -0.46375 -4.21375 0.5  0 -4.25 0.5  0.46375 -4.21375 0.5  0.9275 -4.1775 0.5  1.39125 -4.14125 0.5  1.855 -4.105 0.5  2.64125 -4.14125 0.5  3.4275 -4.1775 0.5  4.21375 -4.21375 0.5  5 -4.25 0.5  7.65148 -4.25 0.5  10.8333 -4.25 0.5  14.6514 -4.25 0.5  19.2332 -4.25 0.5  24.7313 -4.25 0.5  31.329 -4.25 0.5  39.2463 -4.25 0.5  48.747 -4.25 0.5  60.1479 -4.25 0.5  73.829 -4.25 0.5  90.2463 -4.25 0.5  109.947 -4.25 0.5  133.588 -4.25 0.5  161.957 -4.25 0.5  196 -4.25 0.5  236.851 -4.25 0.5  285.873 -4.25 0.5  344.699 -4.25 0.5  415.29 -4.25 0.5  500 -4.25 0.5  
-500 -3.5 0.5  -399.845 -3.5 0.5  -319.722 -3.5 0.5  -255.623 -3.5 0.5  -204.343 -3.5 0.5  -163.32 -3.5 0.5  -130.501 -3.5 0.5  -104.246 -3.5 0.5  -83.2423 -3.5 0.5  -66.4392 -3.5 0.5  -52.9966 -3.5 0.5  -42.2426 -3.5 0.5  -33.6394 -3.5 0.5  -26.7568 -3.5 0.5  -21.2507 -3.5 0.5  -16.8459 -3.5 0.5  -13.322 -3.5 0.5  -10.5029 -3.5 0.5  -8.24761 -3.5 0.5  -6.44338 -3.5 0.5  -5 -3.5 0.5  -4.1775 -3.4275 0.5  -3.355 -3.355 0.5  -2.5325 -3.2825 0.5  -1.71 -3.21 0.5  -1.2825 -3.2825 0.5  -0.855 -3.355 0.5  -0.4275 -3.4275 0.5  0 -3.5 0.5  0.4275 -3.4275 0.5  0.855 -3.355 0.5  1.2825 -3.2825 0.5  1.71 -3.21 0.5  2.5325 -3.2825 0.5  3.355 -3.355 0.5  4.1775 -3.4275 0.5  5 -3.5 0.5  7.65148 -3.5 0.5  10.8333 -3.5 0.5  14.6514 -3.5 0.5  19.2332 -3.5 0.5  24.7313 -3.5 0.5  31.329 -3.5 0.5  39.2463 -3.5 0.5  48.747 -3.5 0.5  60.1479 -3.5 0.5  73.829 -3.5 0.5  90.2463 -3.5 0.5  109.947 -3.5 0.5  133.588 -3.5 0.5  161.957 -3.5 0.5  196 -3.5 0.5  236.851 -3.5 0.5  285.873 -3.5 0.5  344.699 -3.5 0.5  415.29 -3.5 0.5  500 -3.5 0.5  
-500 -2.75 0.5  -399.845 -2.75 0.5  -319.722 -2.75 0.5  -255.623 -2.75 0.5  -204.343 -2.75 0.5  -163.32 -2.75 0.5  -130.501 -2.75 0.5  -104.246 -2.75 0.5  -83.2423 -2.75 0.5  -66.4392 -2.75 0.5  -52.9966 -2.75 0.5  -42.2426 -2.75 0.5  -33.6394 -2.75 0.5  -26.7568 -2.75 0.5  -21.2507 -2.75 0.5  -16.8459 -2.75 0.5  -13.322 -2.75 0.5  -10.5029 -2.75 0.5  -8.24761 -2.75 0.5  -6.44338 -2.75 0.5  -5 -2.75 0.5  -4.14125 -2.64125 0.5  -3.2825 -2.5325 0.5  -2.42375 -2.42375 0.5  -1.565 -2.315 0.5  -1.17375 -2.42375 0.5  -0.7825 -2.5325 0.5  -0.39125 -2.64125 0.5  0 -2.75 0.5  0.39125 -2.64125 0.5  0.7825 -2.5325 0.5  1.17375 -2.42375 0.5  1.565 -2.315 0.5  2.42375 -2.42375 0.5  3.2825 -2.5325 0.5  4.14125 -2.64125 0.5  5 -2.75 0.5  7.65148 -2.75 0.5  10.8333 -2.75 0.5  14.6514 -2.75 0.5  19.2332 -2.75 0.5  24.7313 -2.75 0.5  31.329 -2.75 0.5  39.2463 -2.75 0.5  48.747 -2.75 0.5  60.1479 -2.75 0.5  73.829 -2.75 0.5  90.2463 -2.75 0.5  109.947 -2.75 0.5  133.588 -2.75 0.5  161.957 -2.75 0.5  196 -2.75 0.5  236.851 -2.75 0.5  285.873 -2.75 0.5  344.699 -2.75 0.5  415.29 -2.75 0.5  500 -2.75 0.5  
-500 -2 0.5  -399.845 -2 0.5  -319.722 -2 0.5  -255.623 -2 0.5  -204.343 -2 0.5  -163.32 -2 0.5  -130.501 -2 0.5  -104.246 -2 0.5  -83.2423 -2 0.5  -66.4392 -2 0.5  -52.9966 -2 0.5  -42.2426 -2 0.5  -33.6394 -2 0.5  -26.7568 -2 0.5  -21.2507 -2 0.5  -16.8459 -2 0.5  -13.322 -2 0.5  -10.5029 -2 0.5  -8.24761 -2 0.5  -6.44338 -2 0.5  -5 -2 0.5  -4.105 -1.855 0.5  -3.21 -1.71 0.5  -2.315 -1.565 0.5  -1.42 -1.42 0.5  -1.065 -1.565 0.5  -0.71 -1.71 0.5  -0.355 -1.855 0.5  0 -2 0.5  0.355 -1.855 0.5  0.71 -1.71 0.5  1.065 -1.565 0.5  1.42 -1.42 0.5  2.315 -1.565 0.5  3.21 -1.71 0.5  4.105 -1.855 0.5  5 -2 0.5  7.65148 -2 0.5  10.8333 -2 0.5  14.6514 -2 0.5  19.2332 -2 0.5  24.7313 -2 0.5  31.329 -2 0.5  39.2463 -2 0.5  48.747 -2 0.5  60.1479 -2 0.5  73.829 -2 0.5  90.2463 -2 0.5  109.947 -2 0.5  133.588 -2 0.5  161.957 -2 0.5  196 -2 0.5  236.851 -2 0.5  285.873 -2 0.5  344.699 -2 0.5  415.29 -2 0.5  500 -2 0.5  
-500 -1.5 0.5  -399.845 -1.5 0.5  -319.722 -1.5 0.5  -255.623 -1.5 0.5  -204.343 -1.5 0.5  -163.32 -1.5 0.5  -130.501 -1.5 0.5  -104.246 -1.5 0.5  -83.2423 -1.5 0.5  -66.4392 -1.5 0.5  -52.9966 -1.5 0.5  -42.2426 -1.5 0.5  -33.6394 -1.5 0.5  -26.7568 -1.5 0.5  -21.2507 -1.5 0.5  -16.8459 -1.5 0.5  -13.322 -1.5 0.5  -10.5029 -1.5 0.5  -8.24761 -1.5 0.5  -6.44338 -1.5 0.5  -5 -1.5 0.5  -4.14125 -1.39125 0.5  -3.2825 -1.2825 0.5  -2.42375 -1.17375 0.5  -1.565 -1.065 0.5  -1.17375 -1.17375 0.5  -0.7825 -1.2825 0.5  -0.39125 -1.39125 0.5  0 -1.5 0.5  0.39125 -1.39125 0.5  0.7825 -1.2825 0.5  1.17375 -1.17375 0.5  1.565 -1.065 0.5  2.42375 -1.17375 0.5  3.2825 -1.2825 0.5  4.14125 -1.39125 0.5  5 -1.5 0.5  7.65148 -1.5 0.5  10.8333 -1.5 0.5  14.6514 -1.5 0.5  19.2332 -1.5 0.5  24.7313 -1.5 0.5  31.329 -1.5 0.5  39.2463 -1.5 0.5  48.747 -1.5 0.5  60.1479 -1.5 0.5  73.829 -1.5 0.5  90.2463 -1.5 0.5  109.947 -1.5 0.5  133.588 -1.5 0.5  161.957 -1.5 0.5  196 -1.5 0.5  236.851 -1.5 0.5  285.873 -1.5 0.5  344.699 -1.5 0.5  415.29 -1.5 0.5  500 -1.5 0.5  
-500 -1 0.5  -399.845 -1 0.5  -319.722 -1 0.5  -255.623 -1 0.5  -204.343 -1 0.5  -163.32 -1 0.5  -130.501 -1 0.5  -104.246 -1 0.5  -83.2423 -1 0.5  -66.4392 -1 0.5  -52.9966 -1 0.5  -42.2426 -1 0.5  -33.6394 -1 0.5  -26.7568 -1 0.5  -21.2507 -1 0.5  -16.8459 -1 0.5  -13.322 -1 0.5  -10.5029 -1 0.5  -8.24761 -1 0.5  -6.44338 -1 0.5  -5 -1 0.5  -4.1775 -0.9275 0.5  -3.355 -0.855 0.5  -2.5325 -0.7825 0.5  -1.71 -0.71 0.5  -1.2825 -0.7825 0.5  -0.855 -0.855 0.5  -0.4275 -0.9275 0.5  0 -1 0.5  0.4275 -0.9275 0.5  0.855 -0.855 0.5  1.2825 -0.7825 0.5  1.71 -0.71 0.5  2.5325 -0.7825 0.5  3.355 -0.855 0.5  4.1775 -0.9275 0.5  5 -1 0.5  7.65148 -1 0.5  10.8333 -1 0.5  14.6514 -1 0.5  19.2332 -1 0.5  24.7313 -1 0.5  31.329 -1 0.5  39.2463 -1 0.5  48.747 -1 0.5  60.1479 -1 0.5  73.829 -1 0.5  90.2463 -1 0.5  109.947 -1 0.5  133.588 -1 0.5  161.957 -1 0.5  196 -1 0.5  236.851 -1 0.5  285.873 -1 0.5  344.699 -1 0.5  415.29 -1 0.5  500 -1 0.5  
-500 -0.5 0.5  -399.845 -0.5 0.5  -319.722 -0.5 0.5  -255.623 -0.5 0.5  -204.343 -0.5 0.5  -163.32 -0.5 0.5  -130.501 -0.5 0.5  -104.246 -0.5 0.5  -83.2423 -0.5 0.5  -66.4392 -0.5 0.5  -52.9966 -0.5 0.5  -42.2426 -0.5 0.5  -33.6394 -0.5 0.5  -26.7568 -0.5 0.5  -21.2507 -0.5 0.5  -16.8459 -0.5 0.5  -13.322 -0.5 0.5  -10.5029 -0.5 0.5  -8.24761 -0.5 0.5  -6.44338 -0.5 0.5  -5 -0.5 0.5  -4.21375 -0.46375 0.5  -3.4275 -0.4275 0.5  -2.64125 -0.39125 0.5  -1.855 -0.355 0.5  -1.39125 -0.39125 0.5  -0.9275 -0.4275 0.5  -0.46375 -0.46375 0.5  0 -0.5 0.5  0.46375 -0.46375 0.5  0.9275 -0.4275 0.5  1.39125 -0.39125 0.5  1.855 -0.355 0.5  2.64125 -0.39125 0.5  3.4275 -0.4275 0.5  4.21375 -0.46375 0.5  5 -0.5 0.5  7.65148 -0.5 0.5  10.8333 -0.5 0.5  14.6514 -0.5 0.5  19.2332 -0.5 0.5  24.7313 -0.5 0.5  31.329 -0.5 0.5  39.2463 -0.5 0.5  48.747 -0.5 0.5  60.1479 -0.5 0.5  73.829 -0.5 0.5  90.2463 -0.5 0.5  109.947 -0.5 0.5  133.588 -0.5 0.5  161.957 -0.5 0.5  196 -0.5 0.5  236.851 -0.5 0.5  285.873 -0.5 0.5  344.699 -0.5 0.5  415.29 -0.5 0.5  500 -0.5 0.5  
-500 0 0.5  -399.845 0 0.5  -319.722 0 0.5  -255.623 0 0.5  -204.343 0 0.5  -163.32 0 0.5  -130.501 0 0.5  -104.246 0 0.5  -83.2423 0 0.5  -66.4392 0 0.5  -52.9966 0 0.5  -42.2426 0 0.5  -33.6394 0 0.5  -26.7568 0 0.5  -21.2507 0 0.5  -16.8459 0 0.5  -13.322 0 0.5  -10.5029 0 0.5  -8.24761 0 0.5  -6.44338 0 0.5  -5 0 0.5  -4.25 0 0.5  -3.5 0 0.5  -2.75 0 0.5  -2 0 0.5  -1.5 0 0.5  -1 0 0.5  -0.5 0 0.5  0 0 0.5  0.5 0 0.5  1 0 0.5  1.5 0 0.5  2 0 0.5  2.75 0 0.5  3.5 0 0.5  4.25 0 0.5  5 0 0.5  7.65148 0 0.5  10.8333 0 0.5  14.6514 0 0.5  19.2332 0 0.5  24.7313 0 0.5  31.329 0 0.5  39.2463 0 0.5  48.747 0 0.5  60.1479 0 0.5  73.829 0 0.5  90.2463 0 0.5  109.947 0 0.5  133.588 0 0.5  161.957 0 0.5  196 0 0.5  236.851 0 0.5  285.873 0 0.5  344.699 0 0.5  415.29 0 0.5  500 0 0.5  
-500 0.5 0.5  -399.845 0.5 0.5  -319.722 0.5 0.5  -255.623 0.5 0.5  -204.343 0.5 0.5  -163.32 0.5 0.5  -130.501 0.5 0.5  -104.246 0.5 0.5  -83.2423 0.5 0.5  -66.4392 0.5 0.5  -52.9966 0.5 0.5  -42.2426 0.5 0.5  -33.6394 0.5 0.5  -26.7568 0.5 0.5  -21.2507 0.5 0.5  -16.8459 0.5 0.5  -13.322 0.5 0.5  -10.5029 0.5 0.5  -8.24761 0.5 0.5  -6.44338 0.5 0.5  -5 0.5 0.5  -4.21375 0.46375 0.5  -3.4275 0.4275 0.5  -2.64125 0.39125 0.5  -1.855 0.355 0.5  -1.39125 0.39125 0.5  -0.9275 0.4275 0.5  -0.46375 0.46375 0.5  0 0.5 0.5  0.46375 0.46375 0.5  0.9275 0.4275 0.5  1.39125 0.39125 0.5  1.855 0.355 0.5  2.64125 0.39125 0.5  3.4275 0.4275 0.5  4.21375 0.46375 0.5  5 0.5 0.5  7.65148 0.5 0.5  10.8333 0.5 0.5  14.6514 0.5 0.5  19.2332 0.5 0.5  24.7313 0.5 0.5  31.329 0.5 0.5  39.2463 0.5 0.5  48.747 0.5 0.5  60.1479 0.5 0.5  73.829 0.5 0.5  90.2463 0.5 0.5  109.947 0.5 0.5  133.588 0.5 0.5  161.957 0.5 0.5  196 0.5 0.5  236.851 0.5 0.5  285.873 0.5 0.5  344.699 0.5 0.5  415.29 0.5 0.5  500 0.5 0.5  
-500 1 0.5  -399.845 1 0.5  -319.722 1 0.5  -255.623 1 0.5  -204.343 1 0.5  -163.32 1 0.5  -130.501 1 0.5  -104.246 1 0.5  -83.2423 1 0.5  -66.4392 1 0.5  -52.9966 1 0.5  -42.2426 1 0.5  -33.6394 1 0.5  -26.7568 1 0.5  -21.2507 1 0.5  -16.8459 1 0.5  -13.322 1 0.5  -10.5029 1 0.5  -8.24761 1 0.5  -6.44338 1 0.5  -5 1 0.5  -4.1775 0.9275 0.5  -3.355 0.855 0.5  -2.5325 0.7825 0.5  -1.71 0.71 0.5  -1.2825 0.7825 0.5  -0.855 0.855 0.5  -0.4275 0.9275 0.5  0 1 0.5  0.4275 0.9275 0.5  0.855 0.855 0.5  1.2825 0.7825 0.5  1.71 0.71 0.5  2.5325 0.7825 0.5  3.355 0.855 0.5  4.1775 0.9275 0.5  5 1 0.5  7.65148 1 0.5  10.8333 1 0.5  14.6514 1 0.5  19.2332 1 0.5  24.7313 1 0.5  31.329 1 0.5  39.2463 1 0.5  48.747 1 0.5  60.1479 1 0.5  73.829 1 0.5  90.2463 1 0.5  109.947 1 0.5  133.588 1 0.5  161.957 1 0.5  196 1 0.5  236.851 1 0.5  285.873 1 0.5  344.699 1 0.5  415.29 1 0.5  500 1 0.5  
